PDB,rank,aggregate_score,iptm
8csf,1,0.8497931957244873,0.8406070470809937
8csf,2,0.8488153219223022,0.8394227623939514
8csf,3,0.848143994808197,0.8389993906021118
8csf,4,0.8460370302200317,0.8368034362792969
8d0w,0,0.7792179584503174,0.7532161474227905
8d0w,1,0.7791117429733276,0.7531204223632812
8d0w,2,0.7780114412307739,0.7517452836036682
8d0w,3,0.7768629789352417,0.750423789024353
8d0w,4,0.775766909122467,0.7490063309669495
8dzd,0,0.14409424364566803,0.09232138097286224
8dzd,1,0.14359334111213684,0.09132695943117142
8dzd,2,0.14293396472930908,0.0889161229133606
8dzd,3,0.14230093359947205,0.08912108838558197
8dzd,4,0.14161598682403564,0.08770888298749924
8edi,0,0.49960994720458984,0.42680513858795166
8edi,1,0.4989278018474579,0.42674076557159424
8edi,2,0.49736660718917847,0.4242005944252014
8edi,3,0.49448108673095703,0.42134490609169006
8edi,4,0.4941244125366211,0.42083775997161865
8ic1,0,0.3845641016960144,0.2608216404914856
8ic1,1,0.38286522030830383,0.259037047624588
8ic1,2,0.37348973751068115,0.24757637083530426
8ic1,3,0.37196671962738037,0.2454039454460144
8ic1,4,0.3702811598777771,0.24341242015361786
8inp,0,0.9026136994361877,0.8919000029563904
8inp,1,0.9022278785705566,0.8913375735282898
8inp,2,0.9008455276489258,0.8897522687911987
8inp,3,0.9002790451049805,0.8890792727470398
8inp,4,0.9001259803771973,0.888958752155304
8ped,0,0.2567555606365204,0.1524437963962555
8ped,1,0.2539433538913727,0.1489609330892563
8ped,2,0.25368472933769226,0.1485297679901123
8ped,3,0.24876731634140015,0.14257700741291046
8ped,4,0.2462995946407318,0.13967430591583252
